"Time (s),""Linear Acceleration x (m/s^2)"",""Linear Acceleration y (m/s^2)"",""Linear Acceleration z (m/s^2)"",""Absolute acceleration (m/s^2)"""
"2.537975792E0,-1.942460243E0,-7.911575139E-1,1.547174723E-1,2.103097597E0"
"2.547993792E0,-2.080579078E0,-8.304011017E-1,6.455349469E-1,2.331328088E0"
"2.558012792E0,-2.215639234E0,-8.354402322E-1,8.518855262E-1,2.516490919E0"
"2.568030792E0,-2.287057126E0,-7.964147455E-1,8.057648818E-1,2.552285993E0"
"2.578048792E0,-2.264821919E0,-8.104053783E-1,6.129449058E-1,2.482312764E0"
"2.588066792E0,-2.195450260E0,-8.508382899E-1,3.738477261E-1,2.384049027E0"
"2.598084792E0,-2.124924946E0,-8.445969719E-1,1.599214943E-1,2.292209623E0"
"2.608103792E0,-2.037903174E0,-7.940589023E-1,1.027648151E-4,2.187139433E0"
"2.618121792E0,-1.957931975E0,-7.310744494E-1,-8.887548521E-2,2.091857147E0"
"2.628139792E0,-1.877742675E0,-6.691015649E-1,-8.836093023E-2,1.995350123E0"
"2.638157792E0,-1.852445866E0,-5.284111243E-1,7.848381355E-2,1.927935090E0"
"2.648175792E0,-1.767015706E0,-5.415083027E-1,2.206761114E-1,1.861255945E0"
"2.658193792E0,-1.621030027E0,-5.739211732E-1,2.935315414E-1,1.744501255E0"
"2.668212792E0,-1.649560347E0,-4.735320818E-1,1.240266068E-1,1.720658179E0"
"2.678230792E0,-1.705931599E0,-3.882808471E-1,-1.789686531E-2,1.749652804E0"
"2.688248792E0,-1.556131781E0,-2.970800704E-1,2.694958305E-1,1.606994303E0"
"2.698266792E0,-1.262179386E0,-2.046706742E-1,3.400351784E-1,1.323106500E0"
"2.708284792E0,-1.429551841E0,-4.313479292E-1,1.221050656E-1,1.498195297E0"
"2.718303792E0,-1.806023067E0,-6.547606838E-1,-3.632220197E-1,1.955085959E0"
"2.728321792E0,-2.127909365E0,-8.567708749E-1,-1.150303732E0,2.566174833E0"
"2.738339792E0,-2.288012561E0,-9.323356122E-1,-7.716345379E-1,2.588372275E0"
"2.748357792E0,-2.280520524E0,-8.029741520E-1,-1.007497184E-1,2.419853684E0"
"2.758375792E0,-2.237518346E0,-6.453338027E-1,1.704331800E-1,2.334950007E0"
"2.768394792E0,-2.316655147E0,-6.017053878E-1,1.891754065E-1,2.400984752E0"
"2.778412792E0,-2.577693565E0,-7.272480315E-1,-2.890723085E-1,2.693873905E0"
"2.788430792E0,-2.814425107E0,-1.031332482E0,-8.601628447E-1,3.118415542E0"
"2.798448792E0,-2.737251216E0,-1.023466807E0,-6.869273865E-1,3.001982305E0"
"2.808466792E0,-2.618267394E0,-9.008033323E-1,-1.779190779E-1,2.774603754E0"
"2.818484792E0,-2.635591525E0,-8.596032661E-1,7.475548267E-2,2.773237971E0"
"2.828503792E0,-2.686881546E0,-9.203143215E-1,-1.202918440E-2,2.840150629E0"
"2.838521792E0,-2.705525978E0,-9.567869139E-1,-3.373612466E-1,2.889485184E0"
"2.848539792E0,-2.656225764E0,-8.904508370E-1,-6.533209531E-1,2.876676254E0"
"2.858557792E0,-2.571116617E0,-7.748554766E-1,-7.464565735E-1,2.787156092E0"
"2.868575792E0,-2.472415032E0,-6.543022621E-1,-7.029437873E-1,2.652372053E0"
"2.878594792E0,-2.328071836E0,-6.343036151E-1,-8.803211206E-1,2.568506341E0"
"2.888612792E0,-2.237228324E0,-7.058080459E-1,-1.342450109E0,2.702874001E0"
"2.898630792E0,-2.161809182E0,-1.057345574E0,-2.053300062E0,3.163453769E0"
"2.908648792E0,-1.630325931E0,-2.091829705E0,-3.211384684E0,4.164937664E0"
"2.918666792E0,-4.034233814E-1,-3.761102770E0,-4.141763233E0,5.609175265E0"
"2.928685792E0,1.105358816E0,-5.467526704E0,-3.281871407E0,6.471966185E0"
"2.938703792E0,2.370157755E0,-6.807580478E0,-2.398801218E-1,7.212374243E0"
"2.948721792E0,3.040253931E0,-7.503872180E0,2.507156264E0,8.475675442E0"
"2.958739792E0,2.776594791E0,-7.079059099E0,4.145496388E0,8.660698394E0"
"2.968757792E0,1.485692128E0,-5.259885060E0,5.042133579E0,7.436180671E0"
"2.978776792E0,-4.388183320E-1,-2.407156597E0,4.978034062E0,5.546871869E0"
"2.988794792E0,-2.117374436E0,9.741285861E-2,4.110363393E0,4.624700097E0"
"2.998812792E0,-3.081142926E0,1.682638046E0,3.658906597E0,5.070730717E0"
"3.008830792E0,-3.397300707E0,2.813755016E0,4.122375328E0,6.037619376E0"
"3.018848792E0,-3.069646130E0,3.431059606E0,5.301288024E0,7.021292766E0"
